model,ticker,horizon,n,qlike,mse,rmse,mae,pearson,spearman,qlike_spike_days,qlike_normal_days,pred_exp_clip_count,training_time_sec,inference_time_sec
B6_MLP,TXN,5,247,0.5436500794546462,0.4059809514193126,0.6371663451715828,0.5333496202188198,0.034433047535121754,0.01934945442791043,0.31815710274682774,0.5445667175713447,0,0.18970449996413663,0.1689232923090458
B6_MLP,TXN,10,242,0.5576406899511757,0.41777497644776035,0.6463551473050713,0.5224083105869601,0.015977993297059165,0.030596895814969726,1.4759298895699926,0.5538303613220519,0,0.2129603000357747,0.2005696059204638
B6_MLP,TXN,22,230,0.5443424414564197,0.4468235042053666,0.66844858007581,0.5483207201872349,-0.022200565274517248,-0.012903203535300682,,0.5443424414564197,0,0.1632040999829769,0.18027400714345276
B7_DLinear,ADI,1,251,0.28810478022828473,0.1562533268868636,0.3952889157146499,0.3201564927213481,0.10511706559203812,0.05046527303886266,4.647631081394006,0.25308850471691346,0,0.029815000016242266,0.016089091019239277
B7_DLinear,ADI,5,247,0.2764736611768464,0.15599176402325457,0.3949579269026697,0.3118521823710003,0.12065718406169876,0.08211453590147272,5.652898915926006,0.232584475423792,0,0.03056819998892024,0.02015519532142207
B7_DLinear,ADI,10,242,0.332321661401628,0.17679196684594783,0.4204663682697438,0.33258542438314254,-0.021148969484279745,-0.010286883736382979,12.663384054515996,0.2811554274053028,0,0.03700609999941662,0.01681900129187852
B7_DLinear,ADI,22,230,0.32210757038033155,0.17118394020473432,0.4137438098687814,0.3275435218825716,-0.05409470096395972,-0.07162325900464228,6.101385612794232,0.2968705483610569,0,0.03420429996913299,0.011500007240101695
B7_DLinear,AMAT,1,251,0.29697103218313425,0.16460603838225896,0.4057166971943094,0.33202629617186197,0.11076941495709637,0.09760517519395308,1.9576886518511654,0.26321660901914995,0,0.03184080001665279,0.013152397878002375
B7_DLinear,AMAT,5,247,0.29900858156780896,0.17583640008386134,0.4193285109360695,0.3385285294318502,0.03776757187411864,-0.0017893746028279998,1.610581615091612,0.2719099651726891,0,0.03311990003567189,0.012942812289111316
B7_DLinear,AMAT,10,242,0.31163113045035884,0.17959034017016154,0.42378100496619897,0.33865921473413985,0.019666398459784448,0.016938769375779202,1.5746883217535927,0.28498435426252683,0,0.03271090000635013,0.01263239758554846
B7_DLinear,AMAT,22,230,0.31507792737980816,0.1718527350113712,0.41455124533810195,0.3384082570714639,0.028464409390026972,0.0012323755258825304,2.2904502719603514,0.2889716849404177,0,0.03330389998154715,0.011109004262834787
B7_DLinear,AMD,1,251,0.2935077600921546,0.1419138559963373,0.37671455506303086,0.30290757931458,0.16314127565234837,0.17931011454987833,1.0388861606655373,0.18847716728408698,0,0.03067509998800233,0.017143299046438187
B7_DLinear,AMD,5,247,0.31872718362745545,0.16948441673795284,0.4116848512369053,0.3279840912482804,0.032050515828367154,0.04287929246843573,1.017329035394739,0.21846488082752116,0,0.024625099962577224,0.01501759933307767
B7_DLinear,AMD,10,242,0.35799738641977735,0.19284890248888703,0.4391456506546399,0.34887130094988483,-0.13238381738036348,-0.13309994720677568,1.1183588525880759,0.2503990657355841,0,0.027745300030801445,0.019287391914986074
B7_DLinear,AMD,22,230,0.3191919325765991,0.17462462353822317,0.41788111172703557,0.33645860960534335,-0.027647209085804272,-0.03118565966617024,0.9096317693963306,0.24066052570895005,0,0.031058400054462254,0.013593009789474308
B7_DLinear,AVGO,1,251,0.4068892413062445,0.20809107087184647,0.4561700021613066,0.369616864648186,0.16590842777830134,0.13680311728876998,5.173624773473998,0.290152860926626,0,0.02407740004127845,0.013930503802839667
B7_DLinear,AVGO,5,247,0.5465760652758731,0.28300604186959,0.5319831217901466,0.43524342535126814,0.009567433863005306,0.028290753066340688,7.7781991095628795,0.36653565753428785,0,0.011964700010139495,0.012275892833713442
B7_DLinear,AVGO,10,242,0.5217211050307544,0.29091273036855086,0.539363263829259,0.43264695768584777,-0.0075504777538120856,0.02784249357655884,6.589333746525752,0.3674597666876613,0,0.011690500017721206,0.014108594739809632
B7_DLinear,AVGO,22,230,0.5790126979070103,0.30041639724614794,0.5481025426379155,0.440617547739661,-0.013638327262887027,0.0065194095446846935,8.19367023912203,0.37504865662446507,0,0.010962900007143617,0.011959997355006635
B7_DLinear,INTC,1,251,0.29102365287450577,0.15975231969474923,0.39969027971011406,0.33237781439090414,0.20933806025010016,0.15022905559906177,0.925417942922861,0.2507019818968561,0,0.02879329997813329,0.0117217015940696
B7_DLinear,INTC,5,247,0.3384563561243367,0.19016743790646887,0.43608191650935135,0.3538390587919527,0.06039076810288946,0.08395447805538199,1.3985094442638937,0.2699184409428999,0,0.028911500005051494,0.01687009906163439
B7_DLinear,INTC,10,242,0.37089565756679144,0.22018316565040066,0.469236790597669,0.3834216492303643,-0.07437717524470389,-0.051464477482856666,1.2013615823832415,0.316019054605352,0,0.02010999998310581,0.014955601189285517
B7_DLinear,INTC,22,230,0.31878520773826086,0.18392634727933885,0.42886635130228956,0.35297246734510745,0.08730537012126957,0.0617578438804806,1.210507097137403,0.2653640807235657,0,0.026746499992441386,0.023689992958679795
B7_DLinear,KLAC,1,251,0.3135439133468314,0.17386603568967032,0.41697246394656606,0.3354999098229637,0.14976679463099996,0.15187049266469377,2.0186952153191897,0.27888636655877536,0,0.02535739995073527,0.0117217015940696
B7_DLinear,KLAC,5,247,0.3264418314344608,0.19251239937703574,0.43876234954361765,0.3527228601131116,0.03471381980613971,0.029089083301914818,1.4822334939080126,0.3025618384081478,0,0.035808199958410114,0.012177106458693743
B7_DLinear,KLAC,10,242,0.34037391754630225,0.1945680161067714,0.4410986466843572,0.3607289085547145,0.05485160194800786,0.05043231752939129,1.3317675266292919,0.31945844056142897,0,0.030696699977852404,0.012535596848465502
B7_DLinear,KLAC,22,230,0.34374648328719926,0.18668996695934023,0.43207634390156124,0.34628753627159914,0.0378676226218447,0.03400695633826867,2.6020143697815756,0.2935627524762131,0,0.03203169995686039,0.011040003737434745
B7_DLinear,LRCX,1,251,0.26613315236953594,0.15856528933480904,0.3982025732398135,0.32118536417273236,0.22908252881161928,0.2532206941734383,1.24339230464758,0.2462701614695757,0,0.013380699965637177,0.015587101806886494
B7_DLinear,LRCX,5,247,0.2821783088223038,0.17113081100393976,0.41367959945341726,0.3388831717982547,0.15148725530814172,0.15908790471978676,1.3565354991631229,0.25998084621195633,0,0.017197399982251227,0.016721897933166474
B7_DLinear,LRCX,10,242,0.2728805281657204,0.15228066165876994,0.39023154877427574,0.31229832646611283,0.1292984810563244,0.14028146045149806,1.2917533211017176,0.2557566156794011,0,0.03410540003096685,0.020449000759981573
B7_DLinear,LRCX,22,230,0.26073763000717287,0.1373772686440804,0.37064439648277486,0.2998951895718728,0.11044638794305373,0.10337110678586096,1.4088262880240467,0.245564652147919,0,0.07363739999709651,0.009660006617195904
